"Member_number";"Date";"Day_in_week";"Day";"Month";"Year";"Product_1";"Product_2";"Product_3";"Product_4";"Product_5";"Product_6";"Product_7";"Product_8";"Product_9";"Product_10";"Product_11"
1528;2014-02-01 00:00:00;7.0;"01";"02";"2014";"frozen vegetables";"tropical fruit";;;;;;;;;
1814;2014-02-01 00:00:00;7.0;"01";"02";"2014";"frankfurter";"sparkling wine";;;;;;;;;
1870;2014-02-01 00:00:00;7.0;"01";"02";"2014";"fruit/vegetable juice";"napkins";;;;;;;;;
2020;2014-02-01 00:00:00;7.0;"01";"02";"2014";"beef";"fruit/vegetable juice";;;;;;;;;
2043;2014-02-01 00:00:00;7.0;"01";"02";"2014";"waffles";"brown bread";;;;;;;;;
2311;2014-02-01 00:00:00;7.0;"01";"02";"2014";"pastry";"canned beer";;;;;;;;;
2472;2014-02-01 00:00:00;7.0;"01";"02";"2014";"other vegetables";"white bread";;;;;;;;;
2480;2014-02-01 00:00:00;7.0;"01";"02";"2014";"citrus fruit";"pickled vegetables";;;;;;;;;
2828;2014-02-01 00:00:00;7.0;"01";"02";"2014";"meat";"curd";;;;;;;;;
3130;2014-02-01 00:00:00;7.0;"01";"02";"2014";"ice cream";"yogurt";;;;;;;;;
3178;2014-02-01 00:00:00;7.0;"01";"02";"2014";"butter";"candy";;;;;;;;;
3259;2014-02-01 00:00:00;7.0;"01";"02";"2014";"soda";"dishes";;;;;;;;;
3538;2014-02-01 00:00:00;7.0;"01";"02";"2014";"waffles";"yogurt";;;;;;;;;
3641;2014-02-01 00:00:00;7.0;"01";"02";"2014";"root vegetables";"soft cheese";;;;;;;;;
3692;2014-02-01 00:00:00;7.0;"01";"02";"2014";"frozen dessert";"misc. beverages";;;;;;;;;
3977;2014-02-01 00:00:00;7.0;"01";"02";"2014";"brown bread";"butter milk";"oil";"frozen meals";;;;;;;
4014;2014-02-01 00:00:00;7.0;"01";"02";"2014";"soda";"shopping bags";;;;;;;;;
4364;2014-02-01 00:00:00;7.0;"01";"02";"2014";"brown bread";"yogurt";;;;;;;;;
4408;2014-02-01 00:00:00;7.0;"01";"02";"2014";"pip fruit";"frozen fish";;;;;;;;;
4450;2014-02-01 00:00:00;7.0;"01";"02";"2014";"beef";"condensed milk";;;;;;;;;
4666;2014-02-01 00:00:00;7.0;"01";"02";"2014";"frozen vegetables";"dessert";;;;;;;;;
4847;2014-02-01 00:00:00;7.0;"01";"02";"2014";"soda";"other vegetables";;;;;;;;;
4860;2014-02-01 00:00:00;7.0;"01";"02";"2014";"sugar";"cream cheese ";;;;;;;;;
4907;2014-02-01 00:00:00;7.0;"01";"02";"2014";"rolls/buns";"whipped/sour cream";"bottled beer";;;;;;;;
4933;2014-02-01 00:00:00;7.0;"01";"02";"2014";"hard cheese";"bottled water";;;;;;;;;
1164;2015-02-01 00:00:00;1.0;"01";"02";"2015";"other vegetables";"sliced cheese";;;;;;;;;
1537;2015-02-01 00:00:00;1.0;"01";"02";"2015";"bottled water";"yogurt";;;;;;;;;
2553;2015-02-01 00:00:00;1.0;"01";"02";"2015";"whole milk";"tropical fruit";;;;;;;;;
2612;2015-02-01 00:00:00;1.0;"01";"02";"2015";"pip fruit";"tropical fruit";;;;;;;;;
2763;2015-02-01 00:00:00;1.0;"01";"02";"2015";"pork";"yogurt";"yogurt";"canned fish";;;;;;;
2785;2015-02-01 00:00:00;1.0;"01";"02";"2015";"frozen meals";"beef";;;;;;;;;
2942;2015-02-01 00:00:00;1.0;"01";"02";"2015";"sausage";"pork";"brown bread";"waffles";"whole milk";"flower (seeds)";"oil";;;;
2944;2015-02-01 00:00:00;1.0;"01";"02";"2015";"tropical fruit";"sausage";"beef";"yogurt";"long life bakery product";"yogurt";"cream cheese ";"processed cheese";;;
3037;2015-02-01 00:00:00;1.0;"01";"02";"2015";"whole milk";"other vegetables";"white bread";;;;;;;;
3337;2015-02-01 00:00:00;1.0;"01";"02";"2015";"whole milk";"liver loaf";;;;;;;;;
3365;2015-02-01 00:00:00;1.0;"01";"02";"2015";"canned beer";"root vegetables";"whole milk";"whole milk";"newspapers";;;;;;
3455;2015-02-01 00:00:00;1.0;"01";"02";"2015";"canned beer";"other vegetables";;;;;;;;;
3495;2015-02-01 00:00:00;1.0;"01";"02";"2015";"canned beer";"whole milk";"pork";"oil";;;;;;;
3841;2015-02-01 00:00:00;1.0;"01";"02";"2015";"ham";"other vegetables";;;;;;;;;
3897;2015-02-01 00:00:00;1.0;"01";"02";"2015";"soda";"UHT-milk";;;;;;;;;
4304;2015-02-01 00:00:00;1.0;"01";"02";"2015";"canned beer";"pip fruit";"sugar";;;;;;;;
4369;2015-02-01 00:00:00;1.0;"01";"02";"2015";"soda";"yogurt";;;;;;;;;
4406;2015-02-01 00:00:00;1.0;"01";"02";"2015";"domestic eggs";"whole milk";"artif. sweetener";;;;;;;;
4668;2015-02-01 00:00:00;1.0;"01";"02";"2015";"other vegetables";"frozen vegetables";;;;;;;;;
4986;2015-02-01 00:00:00;1.0;"01";"02";"2015";"whole milk";"other vegetables";;;;;;;;;
1171;2014-03-01 00:00:00;7.0;"01";"03";"2014";"soda";"whipped/sour cream";;;;;;;;;
1253;2014-03-01 00:00:00;7.0;"01";"03";"2014";"pastry";"liqueur";;;;;;;;;
1529;2014-03-01 00:00:00;7.0;"01";"03";"2014";"preservation products";"soups";;;;;;;;;
1899;2014-03-01 00:00:00;7.0;"01";"03";"2014";"other vegetables";"brown bread";;;;;;;;;
2065;2014-03-01 00:00:00;7.0;"01";"03";"2014";"sausage";"white bread";;;;;;;;;
2459;2014-03-01 00:00:00;7.0;"01";"03";"2014";"curd";"whipped/sour cream";;;;;;;;;
2480;2014-03-01 00:00:00;7.0;"01";"03";"2014";"other vegetables";"salty snack";"soda";;;;;;;;
2538;2014-03-01 00:00:00;7.0;"01";"03";"2014";"berries";"pastry";;;;;;;;;
2910;2014-03-01 00:00:00;7.0;"01";"03";"2014";"sugar";"processed cheese";;;;;;;;;
2963;2014-03-01 00:00:00;7.0;"01";"03";"2014";"pickled vegetables";"bottled water";;;;;;;;;
2991;2014-03-01 00:00:00;7.0;"01";"03";"2014";"root vegetables";"soda";"waffles";;;;;;;;
3197;2014-03-01 00:00:00;7.0;"01";"03";"2014";"sausage";"margarine";"margarine";;;;;;;;
3227;2014-03-01 00:00:00;7.0;"01";"03";"2014";"spices";"cat food";"seasonal products";;;;;;;;
3294;2014-03-01 00:00:00;7.0;"01";"03";"2014";"root vegetables";"other vegetables";;;;;;;;;
3313;2014-03-01 00:00:00;7.0;"01";"03";"2014";"bottled beer";"hard cheese";;;;;;;;;
3698;2014-03-01 00:00:00;7.0;"01";"03";"2014";"yogurt";"shopping bags";;;;;;;;;
3761;2014-03-01 00:00:00;7.0;"01";"03";"2014";"meat";"domestic eggs";;;;;;;;;
3831;2014-03-01 00:00:00;7.0;"01";"03";"2014";"soda";"bottled water";"whipped/sour cream";;;;;;;;
4249;2014-03-01 00:00:00;7.0;"01";"03";"2014";"canned beer";"shopping bags";;;;;;;;;
4280;2014-03-01 00:00:00;7.0;"01";"03";"2014";"soda";"margarine";"specialty chocolate";;;;;;;;
4335;2014-03-01 00:00:00;7.0;"01";"03";"2014";"whole milk";"canned beer";;;;;;;;;
4382;2014-03-01 00:00:00;7.0;"01";"03";"2014";"fruit/vegetable juice";"spices";;;;;;;;;
4440;2014-03-01 00:00:00;7.0;"01";"03";"2014";"butter milk";"newspapers";;;;;;;;;
4520;2014-03-01 00:00:00;7.0;"01";"03";"2014";"mustard";"brown bread";;;;;;;;;
1238;2015-03-01 00:00:00;1.0;"01";"03";"2015";"frankfurter";"margarine";;;;;;;;;
1293;2015-03-01 00:00:00;1.0;"01";"03";"2015";"whole milk";"light bulbs";;;;;;;;;
1408;2015-03-01 00:00:00;1.0;"01";"03";"2015";"root vegetables";"soda";;;;;;;;;
1436;2015-03-01 00:00:00;1.0;"01";"03";"2015";"beverages";"chocolate marshmallow";;;;;;;;;
1517;2015-03-01 00:00:00;1.0;"01";"03";"2015";"frankfurter";"bottled beer";;;;;;;;;
1623;2015-03-01 00:00:00;1.0;"01";"03";"2015";"citrus fruit";"pastry";;;;;;;;;
1696;2015-03-01 00:00:00;1.0;"01";"03";"2015";"newspapers";"whole milk";"chewing gum";;;;;;;;
1930;2015-03-01 00:00:00;1.0;"01";"03";"2015";"tropical fruit";"soda";;;;;;;;;
2028;2015-03-01 00:00:00;1.0;"01";"03";"2015";"coffee";"frozen vegetables";;;;;;;;;
2077;2015-03-01 00:00:00;1.0;"01";"03";"2015";"beef";"whole milk";;;;;;;;;
2107;2015-03-01 00:00:00;1.0;"01";"03";"2015";"coffee";"frankfurter";"frankfurter";"bottled beer";"butter";"margarine";"sugar";"brown bread";"soda";;
2297;2015-03-01 00:00:00;1.0;"01";"03";"2015";"brown bread";"shopping bags";;;;;;;;;
2641;2015-03-01 00:00:00;1.0;"01";"03";"2015";"whole milk";"beverages";"frozen fruits";"fruit/vegetable juice";;;;;;;
2860;2015-03-01 00:00:00;1.0;"01";"03";"2015";"sausage";"shopping bags";"light bulbs";;;;;;;;
2962;2015-03-01 00:00:00;1.0;"01";"03";"2015";"bottled water";"tropical fruit";"domestic eggs";;;;;;;;
3172;2015-03-01 00:00:00;1.0;"01";"03";"2015";"whipped/sour cream";"pickled vegetables";"dish cleaner";;;;;;;;
3289;2015-03-01 00:00:00;1.0;"01";"03";"2015";"tropical fruit";"soft cheese";;;;;;;;;
3538;2015-03-01 00:00:00;1.0;"01";"03";"2015";"citrus fruit";"other vegetables";;;;;;;;;
4100;2015-03-01 00:00:00;1.0;"01";"03";"2015";"whole milk";"whipped/sour cream";;;;;;;;;
4344;2015-03-01 00:00:00;1.0;"01";"03";"2015";"sausage";"frozen meals";"long life bakery product";"soda";;;;;;;
4661;2015-03-01 00:00:00;1.0;"01";"03";"2015";"condensed milk";"rolls/buns";"organic products";;;;;;;;
4716;2015-03-01 00:00:00;1.0;"01";"03";"2015";"sausage";"bottled beer";;;;;;;;;
4726;2015-03-01 00:00:00;1.0;"01";"03";"2015";"whole milk";"tropical fruit";;;;;;;;;
4761;2015-03-01 00:00:00;1.0;"01";"03";"2015";"beverages";"other vegetables";"curd";;;;;;;;
4893;2015-03-01 00:00:00;1.0;"01";"03";"2015";"berries";"napkins";;;;;;;;;
4916;2015-03-01 00:00:00;1.0;"01";"03";"2015";"coffee";"hamburger meat";"brown bread";"detergent";;;;;;;
4924;2015-03-01 00:00:00;1.0;"01";"03";"2015";"beef";"whole milk";"chewing gum";;;;;;;;
4992;2015-03-01 00:00:00;1.0;"01";"03";"2015";"frankfurter";"pip fruit";;;;;;;;;
1165;2014-04-01 00:00:00;3.0;"01";"04";"2014";"beef";"house keeping products";;;;;;;;;
1500;2014-04-01 00:00:00;3.0;"01";"04";"2014";"bottled beer";"fruit/vegetable juice";;;;;;;;;
1545;2014-04-01 00:00:00;3.0;"01";"04";"2014";"brown bread";"hair spray";;;;;;;;;
1616;2014-04-01 00:00:00;3.0;"01";"04";"2014";"frankfurter";"prosecco";;;;;;;;;
1883;2014-04-01 00:00:00;3.0;"01";"04";"2014";"frankfurter";"whole milk";;;;;;;;;
2092;2014-04-01 00:00:00;3.0;"01";"04";"2014";"salty snack";"salty snack";"canned fish";;;;;;;;
2138;2014-04-01 00:00:00;3.0;"01";"04";"2014";"seasonal products";"white bread";;;;;;;;;
2185;2014-04-01 00:00:00;3.0;"01";"04";"2014";"rolls/buns";"flour";;;;;;;;;
2428;2014-04-01 00:00:00;3.0;"01";"04";"2014";"whole milk";"soda";;;;;;;;;
2477;2014-04-01 00:00:00;3.0;"01";"04";"2014";"root vegetables";"soda";;;;;;;;;
2535;2014-04-01 00:00:00;3.0;"01";"04";"2014";"sausage";"rolls/buns";;;;;;;;;
2641;2014-04-01 00:00:00;3.0;"01";"04";"2014";"brown bread";"male cosmetics";;;;;;;;;
2760;2014-04-01 00:00:00;3.0;"01";"04";"2014";"whole milk";"domestic eggs";"rolls/buns";"long life bakery product";;;;;;;
2809;2014-04-01 00:00:00;3.0;"01";"04";"2014";"bottled beer";"berries";;;;;;;;;
2925;2014-04-01 00:00:00;3.0;"01";"04";"2014";"male cosmetics";"oil";;;;;;;;;
3007;2014-04-01 00:00:00;3.0;"01";"04";"2014";"rolls/buns";"yogurt";;;;;;;;;
3077;2014-04-01 00:00:00;3.0;"01";"04";"2014";"root vegetables";"domestic eggs";;;;;;;;;
3133;2014-04-01 00:00:00;3.0;"01";"04";"2014";"whipped/sour cream";"yogurt";;;;;;;;;
3284;2014-04-01 00:00:00;3.0;"01";"04";"2014";"canned fish";"coffee";;;;;;;;;
3382;2014-04-01 00:00:00;3.0;"01";"04";"2014";"cat food";"yogurt";"bottled beer";"pastry";;;;;;;
3765;2014-04-01 00:00:00;3.0;"01";"04";"2014";"tropical fruit";"whole milk";"margarine";"bottled beer";;;;;;;
3830;2014-04-01 00:00:00;3.0;"01";"04";"2014";"margarine";"domestic eggs";;;;;;;;;
4157;2014-04-01 00:00:00;3.0;"01";"04";"2014";"salty snack";"frozen meals";;;;;;;;;
4204;2014-04-01 00:00:00;3.0;"01";"04";"2014";"pastry";"white bread";;;;;;;;;
4726;2014-04-01 00:00:00;3.0;"01";"04";"2014";"rolls/buns";"whole milk";;;;;;;;;
4745;2014-04-01 00:00:00;3.0;"01";"04";"2014";"cat food";"soda";;;;;;;;;
4758;2014-04-01 00:00:00;3.0;"01";"04";"2014";"rolls/buns";"bottled beer";"white bread";;;;;;;;
4799;2014-04-01 00:00:00;3.0;"01";"04";"2014";"dessert";"frozen fish";;;;;;;;;
1144;2015-04-01 00:00:00;4.0;"01";"04";"2015";"meat";"whole milk";;;;;;;;;
1155;2015-04-01 00:00:00;4.0;"01";"04";"2015";"whole milk";"sausage";"pet care";"yogurt";;;;;;;
1309;2015-04-01 00:00:00;4.0;"01";"04";"2015";"tropical fruit";"cocoa drinks";;;;;;;;;
1483;2015-04-01 00:00:00;4.0;"01";"04";"2015";"tropical fruit";"sausage";;;;;;;;;
1567;2015-04-01 00:00:00;4.0;"01";"04";"2015";"chewing gum";"pot plants";;;;;;;;;
1664;2015-04-01 00:00:00;4.0;"01";"04";"2015";"whole milk";"frankfurter";"whole milk";"curd";"canned vegetables";;;;;;
1835;2015-04-01 00:00:00;4.0;"01";"04";"2015";"root vegetables";"pip fruit";;;;;;;;;
2381;2015-04-01 00:00:00;4.0;"01";"04";"2015";"hamburger meat";"whole milk";;;;;;;;;
2642;2015-04-01 00:00:00;4.0;"01";"04";"2015";"frankfurter";"beverages";;;;;;;;;
2657;2015-04-01 00:00:00;4.0;"01";"04";"2015";"pasta";"hamburger meat";"dessert";"bottled water";;;;;;;
2690;2015-04-01 00:00:00;4.0;"01";"04";"2015";"other vegetables";"whole milk";;;;;;;;;
2914;2015-04-01 00:00:00;4.0;"01";"04";"2015";"UHT-milk";"rolls/buns";;;;;;;;;
3200;2015-04-01 00:00:00;4.0;"01";"04";"2015";"whole milk";"specialty chocolate";;;;;;;;;
3221;2015-04-01 00:00:00;4.0;"01";"04";"2015";"beef";"berries";;;;;;;;;
3344;2015-04-01 00:00:00;4.0;"01";"04";"2015";"whole milk";"newspapers";"whole milk";"rolls/buns";;;;;;;
3429;2015-04-01 00:00:00;4.0;"01";"04";"2015";"other vegetables";"soda";"hard cheese";"coffee";"whipped/sour cream";"newspapers";;;;;
3523;2015-04-01 00:00:00;4.0;"01";"04";"2015";"whole milk";"chocolate";;;;;;;;;
3601;2015-04-01 00:00:00;4.0;"01";"04";"2015";"whole milk";"meat";;;;;;;;;
3686;2015-04-01 00:00:00;4.0;"01";"04";"2015";"soda";"pip fruit";"coffee";;;;;;;;
3717;2015-04-01 00:00:00;4.0;"01";"04";"2015";"fruit/vegetable juice";"yogurt";"rolls/buns";"frozen vegetables";;;;;;;
3738;2015-04-01 00:00:00;4.0;"01";"04";"2015";"whole milk";"yogurt";"frozen vegetables";;;;;;;;
3852;2015-04-01 00:00:00;4.0;"01";"04";"2015";"citrus fruit";"other vegetables";;;;;;;;;
3886;2015-04-01 00:00:00;4.0;"01";"04";"2015";"soda";"sausage";"butter milk";"vinegar";;;;;;;
3922;2015-04-01 00:00:00;4.0;"01";"04";"2015";"citrus fruit";"beef";"rolls/buns";"whole milk";;;;;;;
3949;2015-04-01 00:00:00;4.0;"01";"04";"2015";"other vegetables";"bottled water";;;;;;;;;
4144;2015-04-01 00:00:00;4.0;"01";"04";"2015";"finished products";"whole milk";;;;;;;;;
4180;2015-04-01 00:00:00;4.0;"01";"04";"2015";"specialty chocolate";"brown bread";;;;;;;;;
4269;2015-04-01 00:00:00;4.0;"01";"04";"2015";"frankfurter";"frankfurter";"citrus fruit";"semi-finished bread";"dishes";"whipped/sour cream";;;;;
4735;2015-04-01 00:00:00;4.0;"01";"04";"2015";"curd";"whole milk";;;;;;;;;
1004;2014-05-01 00:00:00;5.0;"01";"05";"2014";"dish cleaner";"cling film/bags";;;;;;;;;
1147;2014-05-01 00:00:00;5.0;"01";"05";"2014";"soda";"whole milk";;;;;;;;;
1473;2014-05-01 00:00:00;5.0;"01";"05";"2014";"hamburger meat";"rolls/buns";;;;;;;;;
1544;2014-05-01 00:00:00;5.0;"01";"05";"2014";"other vegetables";"semi-finished bread";"shopping bags";;;;;;;;
1897;2014-05-01 00:00:00;5.0;"01";"05";"2014";"cream cheese ";"rolls/buns";;;;;;;;;
2040;2014-05-01 00:00:00;5.0;"01";"05";"2014";"rolls/buns";"packaged fruit/vegetables";;;;;;;;;
2051;2014-05-01 00:00:00;5.0;"01";"05";"2014";"flour";"cream cheese ";;;;;;;;;
2470;2014-05-01 00:00:00;5.0;"01";"05";"2014";"tropical fruit";"white bread";"red/blush wine";;;;;;;;
2565;2014-05-01 00:00:00;5.0;"01";"05";"2014";"sausage";"sliced cheese";;;;;;;;;
2674;2014-05-01 00:00:00;5.0;"01";"05";"2014";"root vegetables";"butter";;;;;;;;;
3864;2014-05-01 00:00:00;5.0;"01";"05";"2014";"other vegetables";"cooking chocolate";;;;;;;;;
4456;2014-05-01 00:00:00;5.0;"01";"05";"2014";"specialty bar";"soda";;;;;;;;;
4567;2014-05-01 00:00:00;5.0;"01";"05";"2014";"whipped/sour cream";"red/blush wine";;;;;;;;;
4574;2014-05-01 00:00:00;5.0;"01";"05";"2014";"seasonal products";"other vegetables";"bottled water";;;;;;;;
4609;2014-05-01 00:00:00;5.0;"01";"05";"2014";"beef";"spices";;;;;;;;;
4628;2014-05-01 00:00:00;5.0;"01";"05";"2014";"whole milk";"napkins";"napkins";;;;;;;;
4721;2014-05-01 00:00:00;5.0;"01";"05";"2014";"cream cheese ";"semi-finished bread";;;;;;;;;
4747;2014-05-01 00:00:00;5.0;"01";"05";"2014";"tropical fruit";"pastry";;;;;;;;;
4879;2014-05-01 00:00:00;5.0;"01";"05";"2014";"dessert";"fruit/vegetable juice";;;;;;;;;
4943;2014-05-01 00:00:00;5.0;"01";"05";"2014";"finished products";"other vegetables";;;;;;;;;
1140;2015-05-01 00:00:00;6.0;"01";"05";"2015";"photo/film";"frankfurter";"other vegetables";"curd";"waffles";;;;;;
1648;2015-05-01 00:00:00;6.0;"01";"05";"2015";"pork";"pastry";;;;;;;;;
1827;2015-05-01 00:00:00;6.0;"01";"05";"2015";"meat";"whole milk";;;;;;;;;
2255;2015-05-01 00:00:00;6.0;"01";"05";"2015";"tropical fruit";"cookware";"whole milk";"oil";;;;;;;
2661;2015-05-01 00:00:00;6.0;"01";"05";"2015";"bottled water";"tropical fruit";;;;;;;;;
2690;2015-05-01 00:00:00;6.0;"01";"05";"2015";"root vegetables";"other vegetables";"white wine";;;;;;;;
3283;2015-05-01 00:00:00;6.0;"01";"05";"2015";"whole milk";"soda";"mayonnaise";;;;;;;;
3424;2015-05-01 00:00:00;6.0;"01";"05";"2015";"frankfurter";"root vegetables";;;;;;;;;
3551;2015-05-01 00:00:00;6.0;"01";"05";"2015";"mayonnaise";"tropical fruit";"packaged fruit/vegetables";"beverages";"cereals";;;;;;
3934;2015-05-01 00:00:00;6.0;"01";"05";"2015";"shopping bags";"whole milk";"cling film/bags";"bottled beer";"newspapers";;;;;;
4082;2015-05-01 00:00:00;6.0;"01";"05";"2015";"whole milk";"root vegetables";;;;;;;;;
4116;2015-05-01 00:00:00;6.0;"01";"05";"2015";"pastry";"soda";"detergent";;;;;;;;
4212;2015-05-01 00:00:00;6.0;"01";"05";"2015";"other vegetables";"tropical fruit";;;;;;;;;
4225;2015-05-01 00:00:00;6.0;"01";"05";"2015";"pip fruit";"bottled beer";;;;;;;;;
4301;2015-05-01 00:00:00;6.0;"01";"05";"2015";"sausage";"hamburger meat";"pork";"chewing gum";"whole milk";"soda";"soft cheese";"yogurt";;;
4447;2015-05-01 00:00:00;6.0;"01";"05";"2015";"rolls/buns";"butter";;;;;;;;;
4460;2015-05-01 00:00:00;6.0;"01";"05";"2015";"meat";"sliced cheese";;;;;;;;;
4585;2015-05-01 00:00:00;6.0;"01";"05";"2015";"other vegetables";"beef";"tropical fruit";"brown bread";"cat food";;;;;;
4820;2015-05-01 00:00:00;6.0;"01";"05";"2015";"pip fruit";"pastry";"rolls/buns";"chocolate";"soda";;;;;;
4855;2015-05-01 00:00:00;6.0;"01";"05";"2015";"liquor";"sweet spreads";;;;;;;;;
4903;2015-05-01 00:00:00;6.0;"01";"05";"2015";"chicken";"fruit/vegetable juice";;;;;;;;;
1590;2014-06-01 00:00:00;1.0;"01";"06";"2014";"citrus fruit";"newspapers";;;;;;;;;
1863;2014-06-01 00:00:00;1.0;"01";"06";"2014";"bottled beer";"newspapers";"seasonal products";"bottled water";;;;;;;
1879;2014-06-01 00:00:00;1.0;"01";"06";"2014";"whole milk";"sugar";;;;;;;;;
2093;2014-06-01 00:00:00;1.0;"01";"06";"2014";"napkins";"canned vegetables";;;;;;;;;
2259;2014-06-01 00:00:00;1.0;"01";"06";"2014";"processed cheese";"roll products ";;;;;;;;;
2379;2014-06-01 00:00:00;1.0;"01";"06";"2014";"berries";"brown bread";;;;;;;;;
2881;2014-06-01 00:00:00;1.0;"01";"06";"2014";"butter milk";"canned vegetables";;;;;;;;;
2949;2014-06-01 00:00:00;1.0;"01";"06";"2014";"pork";"other vegetables";"shopping bags";;;;;;;;
3111;2014-06-01 00:00:00;1.0;"01";"06";"2014";"oil";"UHT-milk";;;;;;;;;
3963;2014-06-01 00:00:00;1.0;"01";"06";"2014";"candy";"domestic eggs";;;;;;;;;
4221;2014-06-01 00:00:00;1.0;"01";"06";"2014";"bottled water";"frozen meals";;;;;;;;;
4694;2014-06-01 00:00:00;1.0;"01";"06";"2014";"tropical fruit";"whipped/sour cream";"whipped/sour cream";;;;;;;;
4872;2014-06-01 00:00:00;1.0;"01";"06";"2014";"whole milk";"softener";"domestic eggs";"soda";;;;;;;
1661;2015-06-01 00:00:00;2.0;"01";"06";"2015";"packaged fruit/vegetables";"root vegetables";"sliced cheese";"pip fruit";;;;;;;
2380;2015-06-01 00:00:00;2.0;"01";"06";"2015";"pork";"whole milk";;;;;;;;;
